ID,Timestamp,Tweet URL,Group,Collector,Category,Keywords,Account handle,Account name,Account bio,Account type,Joined,Following,Followers,Location,Tweet,Tweet Type,Date posted,Screenshot,Content type,Likes,Replies,Retweets,Quote Tweets,Views,Rating,Reasoning,Remarks,Teacher's Remarks,Reviewer,Review,Reviewer's Remarks
03-1,28/03/23 14:12:00,https://twitter.com/jobbautista9/status/1475113095395966978,03,"Adorna, Juris Hannah",REDT,Neri Colmenares is affiliated with the CPP-NPA-NDF / is an ex-cadre of the CPP,cpp neri,@jobbautista9,Job Bautista #RejectSIMCardReg,"College student studying computer science GPG can be found at my site",Identified,12/13,580,282,"Dasmariñas, Cavite","@_ultravioletred @jersonality If their ED was done by a CPP cadre, the educator would've been reprimanded for sure. Whoever that educator is, they're probably still thinking in the 90s. Wake up kas, RA/RJ split is not that relevant anymore, lol. Embrace your comrades like what Neri, Labog, and Zarate did.",,"Text, Reply",26/12/21 22:35,00-1.png,Rational,1,0,0,0,,INACCURATE,"""Embracing comrades"" implies a fabricated affiliation of Neri to ex-cadres", ,,,,,,Prickly-Turtle,OK,"Incorrect ""Joined"" date; I think content type should be ""Emotional"""
03-2,28/03/23 14:12:00,https://twitter.com/SeanAlden8/status/1475699422982189061,03,"Adorna, Juris Hannah",REDT,Neri Colmenares is affiliated with the CPP-NPA-NDF / is an ex-cadre of the CPP,npa neri,@SeanAlden8,Sean Alden,,Identified,11/22,618,62,,@lukatmhe Colmenarez family ay part sa legal front ng NPA. At saka my first cousin si Angel Locsin na big time drug dealer ng shabu sa Cebu. Siya at former Local Beauty Queen. Mismo si Neri Colmenarez naki usap sa mnga police na wag galawin or itumba.,,"Text, Reply",28/12/21 13:25,00-2.png,Rational,0,1,0,0,,FAKE,Fabrication of ties of the Colmenares family to the CPP [https://abkd.rappler.com/160/false-kasapi-ng-cpp-npa-ndf-ang-makabayan-partylists-colmenares-labog-at-de-guzman/] [https://verafiles.org/articles/vera-files-fact-check-yearender-a-relentless-stream-of-red-tagging-in-2022],No location was given. No Bio was given.,,,,,,Prickly-Turtle,OK,"Incorrect ""Joined"" date"
03-3,28/03/23 14:12:00,https://twitter.com/dozZ3h_Vbril/status/1476173017458016256,03,"Adorna, Juris Hannah",REDT,Neri Colmenares is affiliated with the CPP-NPA-NDF / is an ex-cadre of the CPP,npa colmenares,@dozZ3h_Vbril,t ❤_💚 k! rO ツ,â¤ðŸ’šâœŒðŸ‘Š,Anonymous,09/03,2147,3130,,"@weirdnow1 @pnagovph yay ðŸ˜‚ðŸ˜‚ðŸ˜‚ kaya pa nmn mag pakamatay yang sina Elago,Zarate,Colmenares,Nato Reyes sa pakiki bakbakan.Tanggaaa yung mga nasapi sa NPA",,"Text, Reply",29/12/21 20:47,00-3.png,Emotional,2,1,0,0,,NEEDS CONTEXT,Listed progressive candidates before maliciously looping in the CPP into the statement,No location was given.,,,,,,Prickly-Turtle,OK,"Incorrect ""Joined"" date"
03-4,28/03/23 14:12:00,https://twitter.com/Angieskie07/status/1479341371219902468,03,"Adorna, Juris Hannah",REDT,Neri Colmenares is affiliated with the CPP-NPA-NDF / is an ex-cadre of the CPP,npa colmenares,@Angieskie07,DareDevil Queen,,Anonymous,09/11,51,25,,"@ColmenaresPH Shut Up Colmenares NPA. SALOT KA
 
 #Nerveagain",,"Text, Reply",07/01/22 14:37,00-4.png,Emotional,1,0,0,0,,FAKE,Fabrication of Colmenares' ties to the CPP [https://abkd.rappler.com/160/false-kasapi-ng-cpp-npa-ndf-ang-makabayan-partylists-colmenares-labog-at-de-guzman/] [https://verafiles.org/articles/vera-files-fact-check-yearender-a-relentless-stream-of-red-tagging-in-2022],No location was given. No Bio was given.,,,,,,Prickly-Turtle,OK,"Incorrect ""Joined"" date"
03-5,28/03/23 14:12:00,https://twitter.com/ghearrrrr/status/1479580070922846209,03,"Adorna, Juris Hannah",REDT,Neri Colmenares is affiliated with the CPP-NPA-NDF / is an ex-cadre of the CPP,npa neri,@ghearrrrr,ghear,leah hakdog,Anonymous,09/11,303,341,"General Trias, Calabarzon",AHAHAHAHA neri niyo NPA,,"Text, Reply",08/01/22 06:25,00-5.png,Emotional,0,0,0,0,,FAKE,"QRT'd a tweet asking the Marcoses for accountability, fabrication of Colmenares' ties to the NPA as a response", ,,,,,,Prickly-Turtle,OK,"Incorrect ""Joined"" date"
03-6,28/03/23 14:12:00,https://twitter.com/WongLi2515/status/1479616060944879617,03,"Adorna, Juris Hannah",REDT,Neri Colmenares is affiliated with the CPP-NPA-NDF / is an ex-cadre of the CPP,cpp colmenares,@WongLi2515,å¥³çº¢ Wong Li Official (DDS) Taho Vendor,"Freedom is the sure POSSESSION of those Alone who have courage to defend it.
 
 DDS Troll ðŸ˜œsince 1991
 Davaoeno A Cebuano a ManileÃ±o & Lumad Mandaya
 #BBMSARAH2022",Anonymous,05/28,2518,3408,"Manila City, National Capital","Hanggang sa Ngayon walang statement Ang mga hinayupak na CPP NPA si Marco Valbuena at mga Makabayan Bloc hinggil sa pagka lagas Ng tatlong leader nila sa Mindanao ,Colmenares Bata mo lagas na! Ano na Naman mga kwento nyo?",,Text,08/01/22 08:48,00-6.png,Rational,17,1,3,0,,FAKE,Fabrication of Colmenares' ties to the NPA and details three Mindanao leaders, ,,,,,,Prickly-Turtle,Mislabeled,"I think content type should be ""Rational""; Incorrect ""Joined"" date"
03-7,28/03/23 14:12:00,https://twitter.com/the_Strain27/status/1480425377814048772,03,"Adorna, Juris Hannah",REDT,Neri Colmenares is affiliated with the CPP-NPA-NDF / is an ex-cadre of the CPP,npa neri,@the_Strain27,The Strain 27,"Writer, blogger, IT, Dad. My views are my own and have no relation to my work or relationships. Also, ants are evil.",Anonymous,11/21,402,239,,"@KoigoesB The NPA was a major contributor to his fatherâ€™s downfall. He really needs to let them have it, for himself and the country. We have teached Sri Lankaâ€™s awakening against the Tamils. Jail the likes of Sarah, Neri and Teddy. Enough commie BS. No more fish talks.",,"Text, Reply",10/01/22 14:24,00-7.png,Transactional,1,0,0,0,,FAKE,"Fabrication of Colmenares' ties to the NPA, the NPA's ties to the Marcos downfall",No location was given.,,,,,,Prickly-Turtle,Mislabeled,"I think content type should be ""Rational"" or ""Emotional""; Incorrect ""Joined"" date"
03-8,28/03/23 14:12:00,https://twitter.com/BeljicaJae/status/1482002779040215043,03,"Adorna, Juris Hannah",REDT,Neri Colmenares is affiliated with the CPP-NPA-NDF / is an ex-cadre of the CPP,npa colmenares,@BeljicaJae,Jameson Jae Beljica,"#BBMFORPRESIDENT2022
 Sa Twitter Academy lang malakas si LugawðŸ¤£ðŸ¤£ hindi sa maralitang Pilipino.
 #LetLeniLeave the Philippines",Identified,01/10,80,0,,@News5PH Si colmenares NPA pala to hndj si Carpio,,"Text, Reply",14/01/22 22:52,00-8.png,Emotional,0,0,0,0,,FAKE,Fabrication of Colmenares' ties to the CPP [https://abkd.rappler.com/160/false-kasapi-ng-cpp-npa-ndf-ang-makabayan-partylists-colmenares-labog-at-de-guzman/] [https://verafiles.org/articles/vera-files-fact-check-yearender-a-relentless-stream-of-red-tagging-in-2022],No location was given.,,,,,,Prickly-Turtle,OK,"Incorrect ""Joined"" date"
03-9,28/03/23 14:12:00,https://twitter.com/NorthPrince14/status/1482118373672878085,03,"Adorna, Juris Hannah",REDT,Neri Colmenares is affiliated with the CPP-NPA-NDF / is an ex-cadre of the CPP,npa colmenares,@NorthPrince14,@NorthPrince,Politics is toxic. Stay on your business. I hate Hypocrites,Anonymous,07/04,88,4,,@News5PH eh ang @BayanMuna gaano ka dami ang kasalanan nila? papatawa itong si @ColmenaresPH . patigasan na ng mukha. kung maka akusa ng ibang tao akala mo napaka linis. eh daming kabataan na namatay dahil sa NPA at isa si Colmenares ang dahilan bakit sumanib ang mga iyon,,"Text, Reply",15/01/22 06:32,00-9.png,Emotional,0,0,0,0,,FAKE,Fabrication of Colmenares' ties to the CPP [https://abkd.rappler.com/160/false-kasapi-ng-cpp-npa-ndf-ang-makabayan-partylists-colmenares-labog-at-de-guzman/] [https://verafiles.org/articles/vera-files-fact-check-yearender-a-relentless-stream-of-red-tagging-in-2022],No location was given.,,,,,,Prickly-Turtle,OK,"Incorrect ""Joined"" date"
03-10,28/03/23 14:12:00,https://twitter.com/bingbongbarack/status/1482312089351819267,03,"Morco, Michael Benjamin",REDT,Neri Colmenares is affiliated with the CPP-NPA-NDF / is an ex-cadre of the CPP,cpp colmenares,@bingbongbarack,BongBongBong,"Ironically, the person youâ€™d take a bullet for sometimes ends up being the one behind the gun.",Anonymous,01/08,614,551,,"@Fairboz1 Sino ka para magsasabi sa amin kung sinong deserving? Dahil sa totohanan lang, ikaw Colmenares at mga kapanalig mong CPP NPA NDF ang tunay na SALOT ng Bayang ito.",,"Text, Reply",15/01/22 19:21,00-10.png,Emotional,4,0,1,0,,FAKE,Fabrication of Colmenares' ties to the CPP [https://abkd.rappler.com/160/false-kasapi-ng-cpp-npa-ndf-ang-makabayan-partylists-colmenares-labog-at-de-guzman/] [https://verafiles.org/articles/vera-files-fact-check-yearender-a-relentless-stream-of-red-tagging-in-2022],No location was given.,,,,,,Prickly-Turtle,OK,"Incorrect ""Joined"" date"
